Entry	Entry name	Status	Gene names	Organism	Protein names	Length	Gene ontology (GO)	Gene ontology IDs	yourlist:M20211020A084FC58F6BBA219896F365D15F2EB44240168N
A0A3M6UEL3	A0A3M6UEL3_POCDA	unreviewed	pdam_00015172	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	279	calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; protein localization to juxtaparanode region of axon [GO:0071205]	GO:0005201; GO:0005509; GO:0071205	RMX52111.1
A0A3M6V6G1	A0A3M6V6G1_POCDA	unreviewed	pdam_00003549	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	2083			RMX61485.1
A0A2B4RAS7	A0A2B4RAS7_STYPI	unreviewed	TTC28 AWC38_SpisGene22444	Stylophora pistillata (Smooth cauliflower coral)	Tetratricopeptide repeat protein 28	1421			PFX13467.1
A0A2B4RHE2	A0A2B4RHE2_STYPI	unreviewed	AWC38_SpisGene20091	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	512			PFX15685.1
A0A3M6T6Y2	A0A3M6T6Y2_POCDA	unreviewed	pdam_00020042	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	OTU domain-containing protein	367			RMX37079.1
A0A2B4SYR0	A0A2B4SYR0_STYPI	unreviewed	AWC38_SpisGene792	Stylophora pistillata (Smooth cauliflower coral)	BRICHOS domain-containing protein	423			PFX34309.1
A0A2B4RXR3	A0A2B4RXR3_STYPI	unreviewed	POGK AWC38_SpisGene13079 AWC38_SpisGene15430 AWC38_SpisGene16979 AWC38_SpisGene18190 AWC38_SpisGene19288 AWC38_SpisGene22382 AWC38_SpisGene2255 AWC38_SpisGene2283 AWC38_SpisGene8669	Stylophora pistillata (Smooth cauliflower coral)	Pogo transposable element with KRAB domain	416	DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]	GO:0003677; GO:0004803; GO:0006313	PFX13527.1
A0A2B4RGT3	A0A2B4RGT3_STYPI	unreviewed	Rnf213 AWC38_SpisGene20217	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase RNF213	5685	ATPase activity [GO:0016887]; ubiquitin-protein transferase activity [GO:0004842]	GO:0004842; GO:0016887	PFX15557.1
A0A2B4SBI7	A0A2B4SBI7_STYPI	unreviewed	ACAP3 AWC38_SpisGene8585	Stylophora pistillata (Smooth cauliflower coral)	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3	877	GTPase activator activity [GO:0005096]; metal ion binding [GO:0046872]; positive regulation of GTPase activity [GO:0043547]	GO:0005096; GO:0043547; GO:0046872	PFX26726.1
A0A2B4R7R0	A0A2B4R7R0_STYPI	unreviewed	scara5 AWC38_SpisGene23750	Stylophora pistillata (Smooth cauliflower coral)	Scavenger receptor class A member 5	688	integral component of membrane [GO:0016021]	GO:0016021	PFX12315.1
A0A3M6U5L0	A0A3M6U5L0_POCDA	unreviewed	pdam_00008293	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	812			RMX48973.1
A0A3M6UM37	A0A3M6UM37_POCDA	unreviewed	pdam_00023673	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	289			RMX54594.1
A0A3M6UPB6	A0A3M6UPB6_POCDA	unreviewed	pdam_00026060	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	192			RMX55526.1
A0A3M6T4Q1	A0A3M6T4Q1_POCDA	unreviewed	pdam_00003776	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	483			RMX35516.1
A0A2B4RNN6	A0A2B4RNN6_STYPI	unreviewed	TRAPPC11 AWC38_SpisGene17513	Stylophora pistillata (Smooth cauliflower coral)	Trafficking protein particle complex subunit 11	1532	Golgi apparatus [GO:0005794]	GO:0005794	PFX18140.1
A0A2B4RJN5	A0A2B4RJN5_STYPI	unreviewed	AWC38_SpisGene19012	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	929			PFX16700.1
A0A2B4REK7	A0A2B4REK7_STYPI	unreviewed	trim71 AWC38_SpisGene19684	Stylophora pistillata (Smooth cauliflower coral)	E3 ubiquitin-protein ligase TRIM71	1348	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]	GO:0005737; GO:0008270	PFX16061.1
A0A3M6TUK4	A0A3M6TUK4_POCDA	unreviewed	pdam_00025711	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Integrase_H2C2 domain-containing protein	335	nucleic acid binding [GO:0003676]	GO:0003676	RMX45080.1
A0A2B4R7T1	A0A2B4R7T1_STYPI	unreviewed	AWC38_SpisGene23081	Stylophora pistillata (Smooth cauliflower coral)	Putative RNA-directed DNA polymerase from transposon X-element	1492	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX12889.1
A0A3M6TEZ7	A0A3M6TEZ7_POCDA	unreviewed	pdam_00025462	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	461	integral component of membrane [GO:0016021]	GO:0016021	RMX39975.1
A0A3M6UA62	A0A3M6UA62_POCDA	unreviewed	pdam_00025857	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	182			RMX50424.1
A0A432IA28	A0A432IA28_9GAMM	unreviewed	DSY43_00385	Gammaproteobacteria bacterium	Reverse transcriptase domain-containing protein	831			RUA07179.1
A0A3M6UXY9	A0A3M6UXY9_POCDA	unreviewed	pdam_00022154	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	1418			RMX58477.1
A0A3M6URF6	A0A3M6URF6_POCDA	unreviewed	pdam_00011689	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	9240	collagen trimer [GO:0005581]; extracellular region [GO:0005576]; nematocyst [GO:0042151]; serine-type endopeptidase inhibitor activity [GO:0004867]	GO:0004867; GO:0005576; GO:0005581; GO:0042151	RMX56240.1
A0A2B4RPD4	A0A2B4RPD4_STYPI	unreviewed	AWC38_SpisGene17451	Stylophora pistillata (Smooth cauliflower coral)	GIY-YIG domain-containing protein	318			PFX18188.1
A0A3M6TYW4	A0A3M6TYW4_POCDA	unreviewed	pdam_00000547	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	289			RMX46458.1
A0A2B4R9X2	A0A2B4R9X2_STYPI	unreviewed	pol AWC38_SpisGene22775	Stylophora pistillata (Smooth cauliflower coral)	RNA-directed DNA polymerase from mobile element jockey	701	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964	PFX13167.1
A0A3M6U1L4	A0A3M6U1L4_POCDA	unreviewed	pdam_00023397	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	3028			RMX47585.1
A0A3M6V6I7	A0A3M6V6I7_POCDA	unreviewed	pdam_00020431	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	699	integral component of membrane [GO:0016021]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016021	RMX61566.1
A0A3M6V2R1	A0A3M6V2R1_POCDA	unreviewed	pdam_00023027	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	90			RMX59858.1
A0A2B4RA17	A0A2B4RA17_STYPI	unreviewed	F54H12.2 AWC38_SpisGene21887	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein F54H12.2	533	deoxyribonucleotide biosynthetic process [GO:0009263]	GO:0009263	PFX13996.1
A0A2B4SGA6	A0A2B4SGA6_STYPI	unreviewed	chonabc AWC38_SpisGene7207	Stylophora pistillata (Smooth cauliflower coral)	Chondroitin sulfate ABC exolyase	3421	extracellular region [GO:0005576]; carbohydrate binding [GO:0030246]; chondroitin ABC lyase activity [GO:0047486]; carbohydrate metabolic process [GO:0005975]; glycosaminoglycan catabolic process [GO:0006027]	GO:0005576; GO:0005975; GO:0006027; GO:0030246; GO:0047486	PFX28093.1
A0A3M6UDZ3	A0A3M6UDZ3_POCDA	unreviewed	pdam_00012162	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	HECT domain-containing protein	606	ubiquitin-protein transferase activity [GO:0004842]	GO:0004842	RMX51903.1
A0A3M6UI80	A0A3M6UI80_POCDA	unreviewed	pdam_00025055	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein	151			RMX53335.1
A0A2B4RCH4	A0A2B4RCH4_STYPI	unreviewed	AWC38_SpisGene21886	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1088			PFX13995.1
A0A2B4SLP8	A0A2B4SLP8_STYPI	unreviewed	AWC38_SpisGene5192	Stylophora pistillata (Smooth cauliflower coral)	Transposon TX1 uncharacterized 149 kDa protein	1035			PFX30003.1
A0A2B4S7U9	A0A2B4S7U9_STYPI	unreviewed	AWC38_SpisGene10720	Stylophora pistillata (Smooth cauliflower coral)	Uncharacterized protein	1358			PFX24677.1
A0A3M6U0D7	A0A3M6U0D7_POCDA	unreviewed	pdam_00025723	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	532			RMX47086.1
A0A3M6V5Q7	A0A3M6V5Q7_POCDA	unreviewed	pdam_00023060	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	Uncharacterized protein (Fragment)	182			RMX61313.1
A0A3M6TY23	A0A3M6TY23_POCDA	unreviewed	pdam_00007854	Pocillopora damicornis (Cauliflower coral) (Millepora damicornis)	DUF3504 domain-containing protein	160			RMX46169.1
A0A2B4S3V6	A0A2B4S3V6_STYPI	unreviewed	Trim3 AWC38_SpisGene10825	Stylophora pistillata (Smooth cauliflower coral)	Tripartite motif-containing protein 3	1071			PFX24581.1
